Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
1.98086	5	0	7	-69.1051
1.98286	5	0	5	-98.0519
2.00593	3	0	0	-107.712
2.01086	3	0	0	-107.712
2.01643	3	0	0	-107.712
2.02086	3	0	2	-77.1808
2.02264	3	0	0	-107.712
2.02293	5	0	9	-99.5257
2.02393	5	0	9	-99.5257
2.02486	5	0	8	-82.7558
2.02493	5	0	9	-99.5257
2.02593	5	0	9	-99.5257
2.02857	3	0	0	-107.712
2.02893	5	0	9	-99.5257
2.02993	5	0	9	-99.5257
2.03186	3	0	0	-107.712
2.03464	3	0	0	-107.712
2.03493	5	0	9	-99.5257
2.03586	3	0	1	-101.014
2.03593	5	0	9	-99.5257
2.03786	5	0	9	-99.5257
2.04043	3	0	0	-107.712
2.04093	5	0	9	-99.5257
2.04186	1	0	4	-104.493
2.04193	5	0	9	-99.5257
2.04543	3	0	0	-107.712
2.05143	3	0	0	-107.712
2.05193	5	0	9	-99.5257
2.05293	5	0	9	-99.5257
2.05386	5	0	6	-95.5627
2.05686	1	0	3	-80.4414
2.05757	3	0	0	-107.712
2.05793	5	0	9	-99.5257
2.05893	5	0	9	-99.5257
2.06086	5	0	7	-68.5495
2.06286	5	0	5	-98.2025
2.06364	3	0	0	-107.712
2.06393	5	0	9	-99.5257
2.06493	5	0	9	-99.5257
2.06943	3	0	0	-107.712
2.06993	5	0	9	-99.5257
2.07093	5	0	9	-99.5257
2.07571	3	0	0	-107.712
2.07593	5	0	9	-99.5257
2.07693	5	0	9	-99.5257
2.08143	3	0	0	-107.712
2.08193	5	0	9	-99.5257
2.08293	5	0	9	-99.5257
2.08779	3	0	0	-107.712
2.08793	5	0	9	-99.5257
2.08893	5	0	9	-99.5257
2.09343	3	0	0	-107.712
2.09393	5	0	9	-99.5257
2.09493	5	0	9	-99.5257
2.09971	3	0	0	-107.712
2.09993	5	0	9	-99.5257
2.10086	3	0	2	-76.2624
2.10093	5	0	9	-99.5257
2.10486	5	0	8	-82.0561
2.10543	3	0	0	-107.712
2.10593	5	0	9	-99.5257
2.10693	5	0	9	-99.5257
2.11186	3	0	0	-107.712
2.11193	5	0	9	-99.5257
2.11279	3	0	0	-107.712
2.11293	5	0	9	-99.5257
