time(s)	cellId	rnti	lcid	packetSize	delay(s)
2.56224	3	2	3	56	0.00224286
2.56424	1	1	3	3	0.00724286
2.56524	3	1	3	112	0.00224286
2.56824	3	2	3	112	0.00224286
2.57424	3	2	3	56	0.00224286
2.58224	3	2	3	56	0.00224286
2.58824	3	2	3	167	0.00224286
2.59024	3	1	3	167	0.00224286
2.59624	3	2	3	56	0.00224286
2.59631	1	2	3	112	0.00231428
2.60224	3	2	3	56	0.00224286
2.60624	1	3	3	382	0.0122429
2.60824	1	4	3	111	0.00224286
2.60824	3	2	3	167	0.00224286
2.61524	3	2	3	56	0.00224286
2.61531	3	1	3	167	0.00231428
2.61624	3	1	3	56	0.00224286
2.61831	1	1	3	167	0.0123143
2.61839	1	4	3	59	0.00238571
2.61846	1	2	3	167	0.00245714
2.62224	3	2	3	56	0.00224286
2.62624	1	3	3	302	0.00224286
2.62824	3	2	3	167	0.00224286
2.63524	3	2	3	56	0.00224286
2.64024	3	1	3	167	0.00224286
2.64224	3	2	3	56	0.00224286
2.64824	3	2	3	167	0.00224286
2.65424	3	2	3	112	0.00224286
2.65524	1	1	3	56	0.0352429
2.65531	1	4	3	155	0.00231428
2.65539	1	3	3	255	0.00238571
2.65546	1	2	3	167	0.00245714
2.66324	3	2	3	56	0.00224286
2.66624	3	1	3	64	0.00224286
2.66924	3	2	3	112	0.00224286
2.67024	3	1	3	318	0.00724286
2.67724	3	2	3	128	0.00224286
2.68324	3	2	3	128	0.00224286
2.68631	1	4	3	316	0.00231428
2.68639	1	3	3	247	0.00238571
2.68646	1	2	3	167	0.00245714
2.6866	1	1	3	167	0.0026
2.68924	3	2	3	191	0.00224286
2.68931	3	1	3	247	0.00231428
2.69124	3	1	3	56	0.00224286
2.69524	3	2	3	191	0.00224286
2.69624	1	4	3	106	0.00724286
