time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.66524	3	2	3	54	0.00321163
1.66524	3	2	3	54	0.00320924
1.67124	3	2	3	54	0.00321044
1.67724	3	2	3	54	0.00321163
1.68324	3	2	3	54	0.00321163
1.68324	3	2	3	54	0.00320924
1.68824	3	2	3	54	0.00228187
1.69424	3	2	3	54	0.00321163
1.69424	3	2	3	54	0.00320924
1.70024	3	2	3	54	0.00320924
1.70024	3	2	3	54	0.00320685
1.70224	1	1	3	78	0.00821159
1.70424	1	1	3	78	0.00821044
1.70524	1	1	3	78	0.00821159
1.70624	1	1	3	70	0.0082116
1.70824	3	2	3	54	0.00321163
1.71424	3	2	3	54	0.00321163
1.71424	3	2	3	54	0.00320924
1.72024	1	1	3	70	0.0112116
1.72024	3	2	3	54	0.00321044
1.72024	3	2	3	54	0.00320805
1.72024	3	2	3	54	0.00320566
1.72824	3	2	3	54	0.00320924
1.73324	3	2	3	54	0.00228187
1.73924	3	2	3	54	0.00321163
1.73924	3	2	3	54	0.00320924
1.73924	3	2	3	62	0.00320684
1.73924	3	2	3	62	0.00320564
1.74324	1	1	3	70	0.0182116
1.74724	3	2	3	62	0.00321162
1.74724	3	2	3	62	0.00321042
1.75324	3	2	3	62	0.00321162
1.75324	3	2	3	62	0.00321042
1.75924	3	2	3	62	0.00321162
1.75924	3	2	3	62	0.00321042
1.75924	3	2	3	62	0.00320923
1.75924	3	2	3	62	0.00320803
1.75924	3	2	3	62	0.00320684
1.75924	3	2	3	54	0.00320566
1.76524	3	2	3	62	0.00321162
1.76524	3	2	3	70	0.00321041
1.76524	3	2	3	70	0.00320921
1.77124	3	2	3	70	0.0032116
1.77124	3	2	3	70	0.00321041
1.77724	3	2	3	70	0.0032116
1.77724	3	2	3	70	0.00321041
1.77724	3	2	3	70	0.00320921
1.77724	3	2	3	70	0.00320802
1.77724	3	2	3	70	0.00320682
1.77724	3	2	3	70	0.00320563
1.78324	3	2	3	62	0.00321162
1.79024	3	2	3	54	0.00228306
1.79624	3	2	3	54	0.00321163
1.79624	3	2	3	54	0.00320924
1.79624	3	2	3	54	0.00320685
1.80424	3	2	3	54	0.00321163
1.80924	3	2	3	54	0.00228187
1.81524	3	2	3	54	0.00321044
1.81524	3	2	3	54	0.00320805
1.81524	3	2	3	54	0.00320566
1.82324	3	2	3	54	0.00321044
1.82924	3	2	3	54	0.00321044
1.83039	1	1	3	78	0.00835445
1.83039	1	1	3	78	0.00835325
1.83039	1	1	3	78	0.00835206
1.83039	1	1	3	78	0.00835086
1.83524	3	2	3	54	0.00321044
1.83524	3	2	3	54	0.00320805
1.83524	3	2	3	54	0.00320566
1.84324	3	2	3	54	0.00321044
1.84824	3	2	3	54	0.00228187
1.85424	3	2	3	54	0.00321044
1.85424	3	2	3	54	0.00320805
1.85424	3	2	3	54	0.00320566
1.86024	3	2	3	54	0.00320928
1.86824	3	2	3	54	0.00321163
1.87424	3	2	3	54	0.00321163
1.87424	3	2	3	54	0.00320924
1.87424	3	2	3	54	0.00320685
1.87624	1	1	3	78	0.00928302
1.88124	3	2	3	54	0.00228306
1.88331	1	1	3	78	0.015283
1.88331	1	1	3	70	0.0143545
1.88331	1	1	3	70	0.0143533
1.88724	3	2	3	54	0.00228306
1.89324	3	2	3	54	0.00321163
1.89324	3	2	3	54	0.00320924
1.89324	3	2	3	54	0.00320685
1.89824	3	2	3	54	0.00235449
1.89824	3	2	3	54	0.0023521
1.90724	3	2	3	54	0.00321044
1.91324	3	2	3	54	0.00321044
1.91324	3	2	3	54	0.00320805
1.92124	3	2	3	62	0.00321162
1.92124	3	2	3	62	0.00321042
1.92424	1	1	3	70	0.0082116
1.92724	3	2	3	62	0.00321042
1.92724	3	2	3	62	0.00320923
1.92724	3	2	3	62	0.00320803
1.93124	1	1	3	70	0.0102116
1.93324	3	2	3	62	0.00321162
1.93324	3	2	3	62	0.00321042
1.93324	3	2	3	62	0.00320923
1.93924	3	2	3	62	0.00321162
1.93924	3	2	3	62	0.00321042
1.93924	3	2	3	62	0.00320923
1.94024	1	1	3	70	0.0162116
1.94524	3	2	3	62	0.00321162
1.94524	3	2	3	54	0.00321044
1.94824	1	1	3	70	0.0183545
1.95124	3	2	3	54	0.00320924
1.95724	3	2	3	54	0.00321163
1.95724	3	2	3	54	0.00320924
1.96024	1	1	3	70	0.0122116
1.96324	3	2	3	54	0.00321044
1.96924	3	2	3	54	0.00321163
1.97524	3	2	3	54	0.00321163
1.97524	3	2	3	54	0.00320924
1.98124	3	2	3	54	0.00321044
1.98724	3	2	3	54	0.00321163
1.98724	3	2	3	54	0.00320924
1.99324	3	2	3	54	0.00321044
1.99924	3	2	3	54	0.00320928
2.00524	3	2	3	54	0.00321163
2.00524	3	2	3	54	0.00320924
2.00524	3	2	3	54	0.00320685
2.01224	3	2	3	54	0.00242592
2.01324	3	4	3	58	0.00321397
2.01924	3	2	3	54	0.00321163
2.02524	3	2	3	54	0.00321163
2.02524	3	2	3	54	0.00320924
2.02524	3	2	3	54	0.00320685
2.03224	3	2	3	54	0.00299734
2.03324	3	4	3	54	0.00321163
2.03324	3	4	3	54	0.00320924
2.03324	3	4	3	54	0.00320685
2.03424	3	4	3	54	0.00321044
2.03824	3	2	3	54	0.00256877
2.04424	3	2	3	54	0.00321163
2.04424	3	2	3	54	0.00320924
2.04424	3	2	3	54	0.00320685
2.04924	3	2	3	54	0.00228306
2.04924	3	2	3	54	0.00228067
2.05824	3	4	3	62	0.00321162
2.05824	3	4	3	62	0.00321042
2.05824	3	4	3	62	0.00320923
2.05824	3	4	3	62	0.00320803
2.05824	3	4	3	62	0.00320684
2.05831	3	2	3	54	0.00271043
2.05924	3	4	3	62	0.00321162
2.05924	3	4	3	62	0.00321042
2.06324	3	2	3	54	0.00228187
2.06324	3	2	3	54	0.00227947
2.06639	1	1	3	78	0.00835445
2.06639	1	1	3	78	0.00835325
2.06639	1	1	3	78	0.00835206
2.07124	3	2	3	62	0.00228305
2.07124	3	2	3	62	0.00228185
2.07724	3	2	3	62	0.00321162
2.07724	3	2	3	62	0.00321042
2.07724	3	2	3	62	0.00320923
2.07724	3	2	3	62	0.00320803
2.07824	3	4	3	70	0.0032116
2.07824	3	4	3	70	0.00321041
2.07824	3	4	3	70	0.00320921
2.07824	3	4	3	70	0.00320802
2.07924	3	4	3	62	0.00321162
2.07924	3	4	3	62	0.00321042
2.07924	3	4	3	62	0.00320923
2.08524	3	2	3	62	0.00321162
2.08524	3	2	3	62	0.00321042
2.09124	3	2	3	62	0.00321162
2.09124	3	2	3	62	0.00321042
2.09124	3	2	3	62	0.00320923
2.09724	3	2	3	62	0.00321162
2.09724	3	2	3	54	0.00321044
2.09824	3	4	3	70	0.0032116
2.09824	3	4	3	70	0.00321041
2.09824	3	4	3	70	0.00320921
2.09824	3	4	3	70	0.00320802
2.10324	3	2	3	54	0.00321163
2.10324	3	2	3	54	0.00320924
