time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.59203	3	2	3	7972	0.00295714
1.60003	3	2	3	4022	0.00295714
1.60603	3	2	3	4022	0.00295714
1.61203	3	2	3	4022	0.00295714
1.61603	3	3	3	106	0.00295714
1.61803	3	2	3	4022	0.00295714
1.62203	3	3	3	2155	0.00295714
1.62403	3	2	3	4022	0.00295714
1.62803	3	3	3	1073	0.00295714
1.63003	3	2	3	4022	0.00295714
1.63403	3	3	3	1073	0.00295714
1.63603	3	2	3	4022	0.00295714
1.64003	3	3	3	1329	0.00295714
1.64203	3	2	3	4022	0.00295714
1.64603	3	3	3	1073	0.00295714
1.64803	3	2	3	4022	0.00295714
1.65203	3	3	3	1073	0.00295714
1.65403	3	2	3	4022	0.00295714
1.65803	3	3	3	1073	0.00295714
1.66003	3	2	3	4022	0.00295714
1.66403	3	3	3	2155	0.00295714
1.66603	3	2	3	4022	0.00295714
1.67003	3	3	3	362	0.00295714
1.67203	3	2	3	4022	0.00295714
1.67603	3	3	3	1073	0.00295714
1.67603	1	1	3	106	0.0129571
1.67803	3	2	3	4022	0.00295714
1.68203	3	3	3	1073	0.00295714
1.68396	3	2	3	4022	0.00288571
1.68803	3	3	3	1073	0.00295714
1.68903	3	2	3	4022	0.00295714
1.69203	1	1	3	1396	0.0129571
1.69303	1	1	3	1396	0.0129571
1.69403	1	1	3	1396	0.0129571
1.69403	3	3	3	2155	0.00295714
1.69503	1	1	3	1396	0.0129571
1.69503	3	2	3	7006	0.00295714
1.69603	1	1	3	1396	0.0129571
1.70003	3	3	3	1073	0.00295714
1.70303	3	2	3	4022	0.00295714
1.70603	3	3	3	723	0.00295714
1.70703	1	1	3	206	0.0129571
1.70903	3	2	3	4022	0.00295714
1.71303	3	3	3	1073	0.00295714
1.71503	3	2	3	7972	0.00295714
1.71903	3	3	3	1073	0.00295714
1.72003	1	1	3	1396	0.00795714
1.72096	1	1	3	106	0.0128857
1.72103	1	5	3	106	0.00795714
1.72303	1	1	3	1396	0.0139571
1.72303	3	2	3	4022	0.00295714
1.72403	1	1	3	1396	0.0129571
1.72603	3	3	3	1073	0.00295714
1.72624	1	5	3	106	0.00217143
1.72703	1	1	3	144	0.0129571
1.72896	3	2	3	4022	0.00288571
1.73203	3	3	3	2155	0.00295714
1.73303	1	5	3	1396	0.00795714
1.73396	1	5	3	1278	0.00788571
1.73403	3	2	3	7972	0.00295714
1.73503	1	1	3	1396	0.0129571
1.73524	1	5	3	106	0.00717143
1.7366	1	5	3	575	0.00752857
1.73803	3	3	3	1073	0.00295714
1.73903	1	1	3	62	0.0129571
1.74203	3	2	3	2912	0.00295714
1.74403	1	5	3	1278	0.00895714
1.74403	3	3	3	723	0.00295714
1.74503	1	5	3	897	0.00895714
1.74703	1	5	3	38	0.00795714
1.74803	3	2	3	4022	0.00295714
1.75003	3	3	3	1073	0.00295714
1.75403	3	2	3	8052	0.00295714
1.75403	1	5	3	106	0.00795714
1.75603	3	3	3	1073	0.00295714
1.75796	1	5	3	106	0.00788571
1.76003	1	5	3	1224	0.00795714
1.76003	3	2	3	4022	0.00295714
1.76096	1	5	3	106	0.00788571
1.76203	3	3	3	956	0.00295714
1.76203	1	1	3	106	0.0129571
1.76403	1	5	3	106	0.00295714
1.76603	3	2	3	4022	0.00295714
1.76703	1	5	3	106	0.00795714
1.76803	1	5	3	1396	0.00795714
1.76803	3	3	3	2155	0.00295714
1.77103	1	5	3	1158	0.00795714
1.77203	3	2	3	8052	0.00295714
1.77403	1	1	3	1278	0.00795714
1.77403	3	3	3	479	0.00295714
1.77696	1	5	3	340	0.00788571
1.77803	3	2	3	951	0.00295714
1.78003	1	1	3	76	0.0129571
1.78003	3	3	3	1073	0.00295714
1.78103	1	5	3	106	0.00795714
1.78303	1	5	3	1396	0.00795714
1.78403	1	5	3	1028	0.00795714
1.78596	3	2	3	4022	0.00288571
1.78603	3	3	3	1073	0.00295714
1.79103	3	2	3	7625	0.00295714
1.79203	3	3	3	1073	0.00295714
1.79603	1	5	3	106	0.00795714
1.79803	1	5	3	1396	0.00795714
1.79803	3	3	3	2155	0.00295714
1.79903	3	2	3	1456	0.00295714
1.79903	1	5	3	106	0.00795714
1.80403	3	3	3	362	0.00295714
1.80496	3	2	3	4022	0.00288571
1.80703	1	5	3	1396	0.00795714
1.80803	1	5	3	106	0.00795714
1.80903	1	5	3	1196	0.00795714
1.81003	3	2	3	7625	0.00295714
1.81103	3	3	3	1073	0.00295714
1.81703	3	3	3	956	0.00295714
1.81803	3	2	3	2912	0.00295714
1.81803	1	5	3	106	0.00795714
1.81903	1	5	3	1328	0.00795714
1.82003	1	5	3	1396	0.00795714
1.82103	1	5	3	38	0.00795714
1.82303	3	3	3	1073	0.00295714
1.82403	3	2	3	4022	0.00295714
1.82803	1	5	3	106	0.00795714
1.82903	3	3	3	2155	0.00295714
1.83003	3	2	3	7625	0.00295714
1.83403	1	5	3	106	0.00795714
1.83503	3	3	3	1073	0.00295714
1.83803	3	2	3	2912	0.00295714
1.84003	1	5	3	1396	0.00795714
1.84096	1	5	3	106	0.00788571
1.84103	3	3	3	840	0.00295714
1.84396	3	2	3	4022	0.00288571
1.84703	1	5	3	1396	0.00795714
1.84703	3	3	3	1073	0.00295714
1.84803	1	5	3	1196	0.00795714
1.84896	1	1	3	106	0.0128857
1.84903	3	2	3	8052	0.00295714
1.85103	1	5	3	1396	0.00795714
1.85303	3	3	3	1073	0.00295714
1.85503	1	5	3	38	0.00795714
1.85503	3	2	3	3941	0.00295714
1.85803	1	5	3	106	0.00795714
1.85824	1	5	3	106	0.00717143
1.85903	1	1	3	1278	0.00795714
1.85903	3	3	3	956	0.00295714
1.86024	1	5	3	106	0.00717143
1.86303	1	1	3	616	0.00795714
1.86303	3	2	3	4022	0.00295714
1.86496	1	1	3	1278	0.0128857
1.86503	3	3	3	2155	0.00295714
1.86503	1	5	3	106	0.00795714
1.86603	1	1	3	1278	0.0129571
1.86696	1	1	3	1278	0.0128857
1.86703	1	5	3	106	0.00795714
1.86803	1	5	3	106	0.00795714
1.8686	1	5	3	692	0.00752857
1.86903	3	2	3	7625	0.00295714
1.87103	3	3	3	479	0.00295714
1.87103	1	5	3	106	0.00795714
1.87503	1	5	3	1396	0.00795714
1.87696	3	2	3	2912	0.00288571
1.87703	3	3	3	1073	0.00295714
1.87803	1	5	3	1396	0.00895714
1.88103	1	5	3	1396	0.00795714
1.88296	3	2	3	4022	0.00288571
1.88303	3	3	3	1073	0.00295714
1.88503	1	5	3	38	0.00795714
1.88803	3	2	3	8052	0.00295714
1.88803	1	5	3	106	0.00795714
1.88896	3	3	3	956	0.00288571
1.88903	1	5	3	106	0.00795714
1.88996	1	5	3	106	0.00288571
1.89003	1	1	3	106	0.00795714
1.89103	1	5	3	106	0.00795714
1.89389	3	2	3	3941	0.00281428
1.89403	3	3	3	1200	0.00295714
1.89703	1	5	3	1278	0.00795714
1.89803	1	5	3	1172	0.00795714
1.90003	3	3	3	956	0.00295714
1.90203	3	2	3	4022	0.00295714
1.90603	1	1	3	692	0.0129571
1.90603	3	3	3	1073	0.00295714
1.90624	1	1	3	106	0.0121714
1.90703	1	5	3	1278	0.00795714
1.90803	3	2	3	6169	0.00295714
1.90803	1	5	3	106	0.00795714
1.9086	1	5	3	52	0.00752857
1.9096	1	5	3	692	0.00752857
1.91103	1	5	3	692	0.00795714
1.91203	3	3	3	1073	0.00295714
1.91403	1	1	3	692	0.0129571
1.91503	1	1	3	692	0.0129571
1.91603	3	2	3	4022	0.00295714
1.91624	1	5	3	106	0.00717143
1.91796	1	5	3	106	0.00788571
1.91803	3	3	3	2155	0.00295714
1.91824	1	5	3	106	0.00717143
1.91903	1	1	3	1278	0.0139571
1.92003	1	5	3	106	0.00795714
1.92096	1	1	3	692	0.0128857
1.92203	1	1	3	1278	0.0129571
1.92203	3	2	3	4022	0.00295714
1.92396	3	3	3	1073	0.00288571
1.92603	1	5	3	106	0.00795714
1.92703	1	5	3	106	0.00795714
1.92789	1	1	3	304	0.0128143
1.92803	1	5	3	223	0.00795714
1.92803	3	2	3	4022	0.00295714
1.92874	1	5	3	927	0.00767142
1.92903	3	3	3	840	0.00295714
1.93003	1	5	3	575	0.00795714
1.93403	3	2	3	4022	0.00295714
1.93603	1	5	3	1396	0.00795714
1.93696	1	5	3	611	0.00788571
1.93696	3	3	3	1073	0.00288571
1.9396	1	5	3	692	0.00752857
1.94003	3	2	3	4022	0.00295714
1.94203	1	1	3	458	0.00795714
1.94203	3	3	3	1073	0.00295714
1.94303	1	1	3	106	0.0129571
1.94503	1	1	3	692	0.0129571
1.94546	1	5	3	106	0.00738571
1.94603	1	1	3	927	0.00795714
1.94603	3	2	3	4022	0.00295714
1.94703	1	5	3	927	0.00795714
1.94803	1	5	3	1044	0.00795714
1.94803	3	3	3	1073	0.00295714
1.95003	1	5	3	103	0.00795714
1.95203	3	2	3	4022	0.00295714
1.95403	3	3	3	1920	0.00295714
1.95603	1	1	3	1048	0.00795714
1.95803	3	2	3	4022	0.00295714
1.95903	1	1	3	809	0.0129571
1.95924	1	5	3	106	0.00717143
1.96003	3	3	3	597	0.00295714
1.96303	1	1	3	1396	0.0139571
1.96403	1	5	3	575	0.00795714
1.96403	3	2	3	4022	0.00295714
1.96503	1	1	3	62	0.0129571
1.96603	1	5	3	927	0.00795714
1.97003	1	5	3	106	0.00795714
1.97003	3	2	3	4022	0.00295714
1.9706	1	1	3	692	0.00252857
1.97196	1	5	3	1278	0.00788571
1.97203	3	3	3	1073	0.00795714
1.97303	1	5	3	1314	0.00795714
1.97603	3	2	3	4022	0.00295714
1.97803	3	3	3	2885	0.00295714
1.97903	1	1	3	106	0.0129571
1.9796	1	5	3	692	0.00752857
1.98196	1	5	3	106	0.00788571
1.98203	3	2	3	4022	0.00295714
1.98403	1	5	3	638	0.00795714
1.98403	3	3	3	1073	0.00295714
1.98503	1	1	3	662	0.0129571
1.98603	1	5	3	223	0.00795714
1.98803	1	5	3	1044	0.00795714
1.98803	3	2	3	4022	0.00295714
1.99003	3	3	3	702	0.00295714
1.99003	1	5	3	106	0.00795714
1.99203	1	5	3	1278	0.00795714
1.99403	1	5	3	221	0.00795714
1.99403	3	2	3	4022	0.00295714
2.00003	1	5	3	340	0.00795714
2.00003	3	2	3	7768	0.00295714
2.00203	3	3	3	1073	0.00795714
2.00703	1	5	3	1396	0.00795714
