Time	CellId	RNTI	BWPId	SINR(dB)
0.194071	1	4	0	-15.7979
0.194071	1	5	0	-18.6082
0.194071	1	6	0	-24.2243
0.195071	1	1	0	-16.7487
0.195071	1	2	0	-11.9244
0.195071	1	3	0	-21.679
0.195071	1	4	0	-16.3443
0.195071	1	5	0	-18.611
0.195071	1	6	0	-24.2628
0.195071	3	1	0	-11.6639
0.195071	3	2	0	10.9452
0.195071	3	3	0	-3.1813
0.195071	3	4	0	-7.01145
0.200071	1	1	0	-16.7741
0.200071	1	2	0	-11.9916
0.200071	1	3	0	-21.7231
0.200071	1	4	0	-16.3488
0.200071	1	5	0	-18.3175
0.200071	1	6	0	-24.2638
0.200071	3	1	0	-11.6515
0.200071	3	2	0	11.0137
0.200071	3	3	0	-3.22377
0.200071	3	4	0	-6.91117
0.202071	3	1	0	-11.5474
0.202071	3	2	0	11.019
0.202071	3	3	0	-3.21339
0.202071	3	4	0	-6.79927
0.205071	1	1	0	-16.7886
0.205071	1	2	0	-12.1016
0.205071	1	3	0	-21.7035
0.205071	1	4	0	-16.306
0.205071	1	5	0	-18.1047
0.205071	1	6	0	-24.2652
0.205071	3	1	0	-11.6606
0.205071	3	2	0	11.0258
0.205071	3	3	0	-3.1845
0.205071	3	4	0	-6.81779
0.206071	3	1	0	-11.5796
0.206071	3	2	0	11.0075
0.206071	3	3	0	-3.16464
0.206071	3	4	0	-6.78553
0.209071	1	1	0	-16.7677
0.209071	1	2	0	-12.1046
0.209071	1	3	0	-8.70546
0.209071	1	4	0	-15.7717
0.209071	1	5	0	-17.9114
0.209071	1	6	0	-24.3
0.210071	1	1	0	-16.8176
0.210071	1	2	0	-12.1128
0.210071	1	3	0	-21.7201
0.210071	1	4	0	-16.3345
0.210071	1	5	0	-17.8899
0.210071	1	6	0	-24.3152
0.210071	3	1	0	-11.6102
0.210071	3	2	0	11.0706
0.210071	3	3	0	-3.06679
0.210071	3	4	0	-6.76494
0.215071	1	1	0	-16.9323
0.215071	1	2	0	-12.1504
0.215071	1	3	0	-21.7947
0.215071	1	4	0	-16.3343
0.215071	1	5	0	-17.7525
0.215071	1	6	0	-24.3275
0.215071	3	1	0	-11.7261
0.215071	3	2	0	10.9742
0.215071	3	3	0	-3.09139
0.215071	3	4	0	-6.75939
0.220071	1	1	0	-16.8569
0.220071	1	2	0	-12.0632
0.220071	1	3	0	-21.8491
