time(s)	cellId	rnti	lcid	packetSize
2.77	1	3	3	112
2.77	1	2	3	223
2.772	1	4	3	155
2.772	1	1	3	56
2.773	3	1	3	112
2.774	1	4	3	12
2.774	3	2	3	56
2.78	3	2	3	167
2.781	1	1	3	56
2.788	3	2	3	128
2.794	3	2	3	128
2.798	3	1	3	112
2.8	3	2	3	382
2.806	3	2	3	120
2.812	1	4	3	111
2.812	1	3	3	112
2.812	1	2	3	167
2.812	3	2	3	56
2.814	1	4	3	75
2.814	1	1	3	111
2.816	3	1	3	112
2.818	3	2	3	231
2.832	3	2	3	128
2.838	3	2	3	318
2.841	3	1	3	167
2.846	3	2	3	120
2.85	1	4	3	112
2.85	1	3	3	167
2.85	1	2	3	433
2.85	1	1	3	111
2.851	1	2	3	14
2.851	1	1	3	5
2.851	3	2	3	56
2.857	3	2	3	112
2.86	3	1	3	167
2.863	1	1	3	56
2.865	3	2	3	56
2.871	3	2	3	56
2.877	3	2	3	56
2.883	3	2	3	112
2.885	1	4	3	112
2.885	1	3	3	167
2.885	1	2	3	302
2.885	3	1	3	167
2.891	3	2	3	56
2.894	1	1	3	56
2.897	3	2	3	56
2.903	3	2	3	112
2.909	3	2	3	56
2.91	3	1	3	167
2.917	3	2	3	56
2.923	3	2	3	112
2.929	3	2	3	56
2.93	1	4	3	112
2.93	1	3	3	167
2.93	1	2	3	191
2.932	1	1	3	167
2.934	3	1	3	223
2.935	3	2	3	112
2.94	3	2	3	56
2.946	3	2	3	56
2.952	3	2	3	112
2.958	3	2	3	56
2.959	3	1	3	167
2.964	3	2	3	56
2.968	1	4	3	112
2.968	1	3	3	167
2.968	1	2	3	255
2.968	1	1	3	128
2.97	3	2	3	167
2.974	1	1	3	64
2.978	3	2	3	56
2.983	3	2	3	56
2.983	3	1	3	445
2.989	3	2	3	167
2.995	3	2	3	112
3.003	3	2	3	56
3.007	1	4	3	167
3.007	1	3	3	223
3.007	1	2	3	175
3.007	1	1	3	228
3.008	3	2	3	167
3.01	1	1	3	244
3.013	3	1	3	302
3.014	3	2	3	128
3.022	3	2	3	128
3.028	3	2	3	382
3.032	3	1	3	191
3.034	3	2	3	183
3.04	3	2	3	128
3.046	3	2	3	390
3.05	1	4	3	155
3.05	1	3	3	167
3.05	1	2	3	112
3.052	3	2	3	207
3.053	1	4	3	14
3.053	1	1	3	191
3.056	3	1	3	255
3.059	1	1	3	64
3.061	3	2	3	128
3.067	3	2	3	239
3.074	3	2	3	120
3.08	3	2	3	128
3.085	3	1	3	175
3.086	1	3	3	382
3.086	3	2	3	191
3.087	1	4	3	167
3.087	1	2	3	112
3.09	1	1	3	255
3.091	3	2	3	128
3.092	1	3	3	64
3.096	3	4	3	64
3.1	3	2	3	56
3.104	3	1	3	112
