time(s)	cellId	rnti	lcid	packetSize
1.97307	3	2	3	4022
1.97407	1	5	3	106
1.97507	3	3	3	2885
1.97607	1	5	3	638
1.97807	1	5	3	223
1.97907	3	2	3	4022
1.98007	1	5	3	1044
1.98107	3	3	3	1073
1.98207	1	5	3	106
1.98407	1	5	3	1278
1.98507	3	2	3	4022
1.98607	1	5	3	221
1.98707	3	3	3	702
1.99107	3	2	3	4022
1.99207	1	5	3	340
1.99407	3	3	3	1073
1.99707	3	2	3	7768
1.99807	1	5	3	106
1.99907	1	5	3	1396
2.00007	1	5	3	1028
2.00507	3	2	3	2912
2.00507	3	3	3	2155
2.00507	3	4	3	60
2.00707	1	5	3	1396
2.00907	1	5	3	38
2.01007	3	3	3	1071
2.01107	3	2	3	4022
2.01507	1	5	3	106
2.01607	3	3	3	1073
2.01707	3	2	3	7625
2.01907	3	4	3	633
2.02107	1	5	3	106
2.02207	3	3	3	1073
2.02407	1	5	3	1396
2.02507	1	5	3	1262
2.02507	3	2	3	2912
2.02507	3	4	3	7059
2.02607	3	4	3	2558
2.02807	3	3	3	1073
2.03107	3	2	3	4022
2.03407	3	3	3	2155
2.03507	1	5	3	1396
2.03607	1	5	3	1396
2.03607	3	2	3	8052
2.03707	1	5	3	76
2.03907	3	4	3	633
2.04007	3	3	3	362
2.04207	3	2	3	3941
2.04507	3	4	3	7701
2.04607	3	3	3	1073
2.04607	3	4	3	1860
2.04907	1	5	3	106
2.05007	1	5	3	1328
2.05107	1	5	3	106
2.05107	3	2	3	4022
2.05107	3	3	3	1073
2.05307	1	5	3	1328
2.05607	3	2	3	6169
2.05607	3	3	3	1073
2.06207	3	3	3	1083
2.06407	1	5	3	106
2.06407	3	2	3	4022
2.06407	3	4	3	531
2.06807	1	5	3	1396
2.06807	3	3	3	1073
2.06907	3	2	3	4714
2.07007	1	5	3	106
2.07007	3	4	3	6475
2.07107	3	4	3	3187
2.07207	1	1	3	106
2.07407	3	3	3	1073
2.07607	1	5	3	1396
2.07707	1	5	3	106
2.07707	3	2	3	4022
2.07907	1	5	3	1196
2.08007	3	3	3	1073
2.08307	1	1	3	692
2.08307	1	5	3	692
2.08307	3	2	3	4022
2.08407	3	4	3	531
2.08607	1	1	3	1278
2.08607	1	5	3	106
2.08607	3	3	3	2155
2.08707	1	1	3	692
2.08707	1	5	3	638
2.08907	1	1	3	692
2.08907	1	5	3	692
2.08907	3	2	3	4022
2.09007	1	1	3	692
2.09007	1	5	3	692
2.09007	3	4	3	6475
2.09107	3	4	3	3187
2.09207	3	3	3	362
2.09307	1	1	3	228
2.09407	1	5	3	52
2.09507	3	2	3	4022
2.09707	1	5	3	106
2.09807	3	3	3	1073
2.10107	1	5	3	106
2.10107	3	2	3	4022
2.10307	1	5	3	1224
2.10407	1	5	3	106
2.10407	3	3	3	956
2.10407	3	4	3	428
2.10507	1	5	3	1328
2.10707	3	2	3	4022
2.10807	3	4	3	5250
2.10907	3	3	3	1920
2.10907	3	4	3	4374
2.11007	3	4	3	144
2.11107	1	5	3	106
2.11307	3	2	3	4022
2.11407	1	1	3	106
2.11407	3	3	3	353
2.11807	1	5	3	106
2.11907	3	2	3	4022
2.12107	3	3	3	956
2.12407	1	5	3	1278
2.12507	1	5	3	223
2.12507	3	2	3	4022
2.12707	1	5	3	1396
2.12707	3	3	3	956
2.12807	1	5	3	1197
2.13007	1	1	3	1161
2.13107	1	1	3	692
2.13107	3	2	3	4022
2.13307	3	3	3	1920
2.13407	1	1	3	106
2.13707	3	2	3	4022
2.13807	1	1	3	692
2.13807	1	5	3	692
2.13907	1	5	3	106
2.13907	3	3	3	956
2.14007	1	5	3	638
2.14107	1	1	3	692
2.14107	1	5	3	692
2.14207	1	1	3	692
2.14207	1	5	3	692
2.14307	3	2	3	4022
2.14507	1	1	3	106
2.14507	3	3	3	1920
2.14807	1	1	3	137
2.14807	1	5	3	106
2.14907	3	2	3	4022
2.15007	1	5	3	106
2.15107	1	5	3	106
2.15107	3	3	3	462
2.15207	1	1	3	223
2.15207	1	5	3	106
2.15507	1	1	3	223
2.15507	3	2	3	4022
2.15807	1	1	3	106
2.15807	3	3	3	956
2.15907	1	1	3	910
2.16007	1	5	3	1161
2.16107	1	1	3	1044
2.16107	1	5	3	340
2.16107	3	2	3	7768
2.16207	1	1	3	414
2.16207	1	5	3	927
2.16307	1	5	3	1278
2.16407	3	3	3	956
2.16907	1	5	3	234
2.16907	3	2	3	4022
2.17007	3	3	3	1920
2.17107	1	5	3	340
2.17407	1	5	3	340
2.17507	3	2	3	6169
2.17607	3	3	3	956
2.17707	1	5	3	106
2.17807	1	1	3	106
2.17807	1	5	3	1278
2.17907	1	1	3	1044
2.18007	1	1	3	1044
2.18007	1	5	3	223
2.18107	1	5	3	587
2.18207	3	3	3	948
2.18307	3	2	3	4022
2.18707	1	5	3	1044
2.18807	1	2	3	208
2.18807	3	3	3	956
2.18907	1	1	3	1044
2.18907	3	2	3	4022
2.19007	1	1	3	1138
2.19107	1	5	3	106
2.19307	1	5	3	692
2.19407	1	2	3	545
2.19407	3	3	3	956
2.19507	3	2	3	7972
2.19707	1	2	3	707
2.19707	1	5	3	575
2.19807	1	5	3	455
2.20007	3	3	3	1920
2.20307	3	2	3	4022
2.20607	1	5	3	106
2.20607	3	3	3	956
2.20707	1	5	3	1328
2.20907	3	2	3	4022
2.21007	1	2	3	267
2.21007	1	5	3	1278
2.21107	1	1	3	106
2.21107	3	3	3	948
2.21307	1	5	3	106
2.21407	1	5	3	52
2.21507	1	2	3	267
2.21507	3	2	3	5061
2.21607	1	2	3	2382
2.21707	1	5	3	106
2.21807	3	3	3	956
2.22007	1	5	3	223
2.22207	1	1	3	1278
2.22307	1	1	3	1278
2.22307	1	5	3	106
2.22307	3	2	3	2912
2.22407	3	3	3	956
2.22507	1	1	3	1161
2.22607	1	1	3	553
2.22607	1	5	3	692
2.22907	1	5	3	692
2.22907	3	2	3	4022
2.23007	1	5	3	223
2.23007	3	3	3	1920
2.23207	1	5	3	1044
2.23507	3	2	3	4022
2.23607	3	3	3	956
2.23807	1	5	3	1044
2.24107	1	2	3	267
2.24107	1	5	3	1278
2.24107	3	2	3	2150
2.24207	3	3	3	948
2.24407	1	5	3	338
2.24507	1	5	3	1396
2.24707	1	5	3	38
2.24807	1	1	3	106
2.24807	3	3	3	956
2.24907	3	2	3	4022
2.25307	1	2	3	2184
2.25307	1	5	3	106
2.25407	1	2	3	1921
2.25407	3	3	3	956
2.25507	3	2	3	3258
2.25907	1	1	3	1278
2.25907	1	5	3	106
2.25907	3	3	3	1920
2.26007	1	1	3	1396
2.26107	1	1	3	138
2.26107	1	5	3	692
2.26207	1	5	3	809
2.26307	3	2	3	2912
2.26507	3	3	3	956
2.26807	1	2	3	208
2.26807	1	5	3	1278
2.26907	3	2	3	4022
2.27007	1	5	3	1315
2.27107	3	3	3	948
2.27307	1	2	3	208
2.27407	1	2	3	2401
2.27507	1	2	3	1308
2.27507	1	5	3	692
2.27507	3	2	3	4022
2.27607	1	2	3	1707
2.27807	3	3	3	956
2.28107	1	5	3	106
2.28107	3	2	3	3605
2.28407	1	5	3	1044
2.28407	3	3	3	956
2.28607	1	3	3	340
2.28907	1	1	3	106
2.28907	3	2	3	2912
2.29007	1	2	3	208
2.29007	3	3	3	1920
2.29107	1	3	3	1118
2.29207	1	5	3	1044
2.29507	3	2	3	4022
2.29607	1	2	3	2621
2.29607	3	3	3	956
2.29707	1	2	3	648
2.29807	1	2	3	1308
2.29807	1	5	3	692
2.29907	1	2	3	1308
2.29907	1	5	3	692
2.30007	1	2	3	1308
2.30007	1	5	3	575
2.30107	1	1	3	575
2.30107	1	2	3	1088
2.30107	1	5	3	223
2.30107	3	2	3	4022
2.30207	1	1	3	223
2.30207	1	2	3	208
2.30207	3	3	3	1920
2.30307	1	1	3	340
2.30307	1	2	3	55
2.30407	1	1	3	340
2.30507	1	1	3	458
2.30707	3	2	3	4022
2.30807	3	3	3	462
2.31107	1	1	3	882
2.31207	1	5	3	692
2.31307	1	5	3	692
2.31307	3	2	3	3952
2.31407	1	2	3	208
2.31407	1	3	3	531
2.31407	1	5	3	575
2.31507	1	5	3	575
2.31507	3	3	3	956
2.31607	1	5	3	223
2.31807	1	5	3	575
