file,node,event,time,rate,mac_type,retry,length,src_ip,dst_ip,ip_id,l4,src_port,dst_port
5g_playfield_ascii_traces-4-1.tr,4,r,6.40095,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40148,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40179,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40229,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40263,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40313,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40347,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40397,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40439,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40495,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40531,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40581,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40616,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.4067,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40703,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40748,OfdmRate24Mbps,CTL_ACK,,,,,,,,
